=== 2026-01-21T08:46:16 doc_id=489 page=7 phase=pass1 steps=822 min_openxml_idx=429 pdf_units=195 openxml_units=969 ===
[0] Block0 Char="μ" PDF[0] -> U0(pdf_0) OX[4142] -> U415(93770) | SKIP cross_page_backward: openxml_idx=415 < min_from_prev_page=429
[199] Block32 Char="-" PDF[203] -> U45(pdf_45) OX[4881] -> U436(93791) | MATCH continue_existing_assignment cnt:2
[200] Block33 Char="1" PDF[204] -> U45(pdf_45) OX[4883] -> U436(93791) | MATCH continue_existing_assignment cnt:3
[201] Block34 Char="2" PDF[205] -> U46(pdf_46) OX[4885] -> U436(93791) | MATCH new_assignment cnt:1
[202] Block35 Char="(" PDF[206] -> U46(pdf_46) OX[4888] -> U436(93791) | MATCH continue_existing_assignment cnt:2
[203] Block35 Char="0" PDF[207] -> U46(pdf_46) OX[4889] -> U436(93791) | MATCH continue_existing_assignment cnt:3
[204] Block35 Char="." PDF[208] -> U46(pdf_46) OX[4890] -> U436(93791) | MATCH continue_existing_assignment cnt:4
[205] Block35 Char="1" PDF[209] -> U46(pdf_46) OX[4891] -> U436(93791) | MATCH continue_existing_assignment cnt:5
[206] Block35 Char="9" PDF[210] -> U46(pdf_46) OX[4892] -> U436(93791) | MATCH continue_existing_assignment cnt:6
[207] Block35 Char="-" PDF[211] -> U46(pdf_46) OX[4893] -> U436(93791) | MATCH continue_existing_assignment cnt:7
[208] Block35 Char="1" PDF[212] -> U46(pdf_46) OX[4894] -> U436(93791) | MATCH continue_existing_assignment cnt:8
[209] Block35 Char="." PDF[213] -> U46(pdf_46) OX[4895] -> U436(93791) | MATCH continue_existing_assignment cnt:9
[210] Block35 Char="3" PDF[214] -> U46(pdf_46) OX[4896] -> U436(93791) | MATCH continue_existing_assignment cnt:10
[211] Block35 Char="8" PDF[215] -> U46(pdf_46) OX[4897] -> U436(93791) | MATCH continue_existing_assignment cnt:11
